iter	Logloss
0	0.6487113118
1	0.6244748698
2	0.6102277127
3	0.6011600694
4	0.5920621148
5	0.5864356934
6	0.5821009657
7	0.5774380154
8	0.5737139594
9	0.5705131565
10	0.567881288
11	0.5646713487
12	0.5628873535
13	0.5605437988
14	0.558769656
15	0.5569184679
16	0.5554825412
17	0.5545393392
18	0.5533627496
19	0.5524847711
20	0.5510754449
21	0.5502371094
22	0.5493507921
23	0.5485861708
24	0.5475841309
25	0.546977474
26	0.5461648655
27	0.5455354709
28	0.5448472928
29	0.5442279731
30	0.5438900445
31	0.5434001139
32	0.5426520616
33	0.5422367784
34	0.5418976291
35	0.5409918077
36	0.5397891439
37	0.5389179959
38	0.5382506348
39	0.5378013075
40	0.5373009006
41	0.5367886068
42	0.5364184191
43	0.5358267307
44	0.5353861165
45	0.5349542914
46	0.5343614312
47	0.5337685655
48	0.5333700358
49	0.5330774251
50	0.5327384169
51	0.5322410156
52	0.5319463921
53	0.5315475749
54	0.5309668349
55	0.530630127
56	0.5302540365
57	0.5298016981
58	0.5294725152
59	0.5292383843
60	0.528963227
61	0.528746365
62	0.5282744846
63	0.5279767687
64	0.5276640842
65	0.5273130751
66	0.5269050347
67	0.526628635
68	0.5263931532
69	0.5262045519
70	0.5259131185
71	0.5253133681
72	0.5250497179
73	0.5248873589
74	0.5246830132
75	0.5242925184
76	0.5239438694
77	0.5237046821
78	0.5233913791
79	0.5231305013
80	0.5227941243
81	0.522506174
82	0.5222728678
83	0.5218529134
84	0.5216410156
85	0.5213337619
86	0.5211734104
87	0.5208791612
88	0.5207033963
89	0.5204628309
90	0.5202402181
91	0.5200243869
92	0.5197522895
93	0.5194768989
94	0.5191843045
95	0.5189074273
96	0.518713444
97	0.5184967665
98	0.5183216037
99	0.5182105414
