iter	Passed	Remaining
0	88	8750
1	135	6656
2	178	5757
3	216	5196
4	259	4927
5	298	4678
6	336	4476
7	380	4371
8	418	4229
9	463	4170
10	499	4040
11	541	3973
12	576	3861
13	616	3789
14	658	3729
15	700	3677
16	739	3610
17	774	3526
18	814	3474
19	854	3417
20	897	3376
21	934	3312
22	974	3260
23	1011	3204
24	1051	3154
25	1086	3093
26	1122	3035
27	1158	2978
28	1194	2924
29	1230	2871
30	1271	2830
31	1314	2793
32	1360	2763
33	1398	2714
34	1437	2669
35	1477	2627
36	1517	2584
37	1555	2538
38	1594	2494
39	1633	2450
40	1675	2411
41	1714	2368
42	1750	2320
43	1788	2276
44	1822	2227
45	1859	2183
46	1895	2137
47	1931	2092
48	1967	2047
49	2003	2003
50	2035	1955
51	2073	1914
52	2109	1870
53	2148	1829
54	2184	1787
55	2218	1743
56	2258	1703
57	2299	1664
58	2338	1625
59	2372	1581
60	2409	1540
61	2446	1499
62	2488	1461
63	2528	1422
64	2561	1379
65	2599	1338
66	2638	1299
67	2674	1258
68	2709	1217
69	2742	1175
70	2778	1135
71	2820	1097
72	2858	1057
73	2895	1017
74	2930	976
75	2969	937
76	3004	897
77	3039	857
78	3076	817
79	3113	778
80	3150	739
81	3190	700
82	3228	661
83	3274	623
84	3318	585
85	3358	546
86	3397	507
87	3436	468
88	3475	429
89	3512	390
90	3550	351
91	3587	311
92	3623	272
93	3659	233
94	3700	194
95	3738	155
96	3772	116
97	3806	77
98	3841	38
99	3871	0
